,Reviewer 1,,File path / Url path,,New location,,blocked?,Comments/matters,Does the content fit the purpose of the category or needs improvement,Who can own? Support/PSAs/DX,Suggest missing content,Are there any gaps in this new structure?
,,,https://tyk.io/docs/advanced-configuration/transform-traffic/looping,,Product Stack --> Tyk Gateway --> Advanced Configurations --> Transform Traffic,show:true,,,,,,
,,,https://tyk.io/docs/advanced-configuration/transform-traffic/request-method-transform,,Product Stack --> Tyk Gateway --> Advanced Configurations --> Transform Traffic,show:true,,,,,,
,,,https://tyk.io/docs/advanced-configuration/transform-traffic/response-body,,Product Stack --> Tyk Gateway --> Advanced Configurations --> Transform Traffic,show:true,,,,,,
,,,https://tyk.io/docs/advanced-configuration/transform-traffic/response-headers,,Product Stack --> Tyk Gateway --> Advanced Configurations --> Transform Traffic,show:true,,,,,,
,,,https://tyk.io/docs/advanced-configuration/transform-traffic/soap-rest,,Product Stack --> Tyk Gateway --> Advanced Configurations --> Transform Traffic,show:true,,,,,,
,,,https://tyk.io/docs/advanced-configuration/transform-traffic/validate-json,,Product Stack --> Tyk Gateway --> Advanced Configurations --> Transform Traffic,show:true,,,,,,
,,,https://tyk.io/docs/advanced-configuration/websockets,,Product Stack --> Tyk Gateway --> Advanced Configurations,show:true,,,,,,
,,,https://tyk.io/docs/api-management/oss,,Page doesn't exists,show:true,,,,,,
,,,https://tyk.io/docs/api-management/oss/gateway-api,,Delete Page,show:true,,,,,,
,,,https://tyk.io/docs/apim,,Deployment and Operations --> Overview,show:true,,,,,,
,,,https://tyk.io/docs/apim/open-source,,Deployment and Operations --> Tyk Open Source API Gateway --> Overview,show:true,,,,,,
,,,https://tyk.io/docs/apim/open-source/installation,,Deployment and Operations --> Tyk Open Source API Gateway --> Installation,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Overview,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/control-limit-traffic,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Control and Limit Traffic,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/control-limit-traffic/key-expiry,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Control and Limit Traffic,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/control-limit-traffic/rate-limiting,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Control and Limit Traffic,show:true,,,,,,Yes - we need to show it for oss users as well
,,,https://tyk.io/docs/basic-config-and-security/control-limit-traffic/request-quotas,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Control and Limit Traffic,show:true,,,,,,Split to OSS and dashboard pages.
,,,https://tyk.io/docs/basic-config-and-security/control-limit-traffic/request-size-limits,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Control and Limit Traffic,show:true,,,,,,Yes - we need to show it for oss users as well
,,,https://tyk.io/docs/basic-config-and-security/control-limit-traffic/request-throttling,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Control and Limit Traffic,show:true,,,,,,Yes - we need to show it for oss users as well
,,,https://tyk.io/docs/basic-config-and-security/reduce-latency,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Reduce Latency,show:true,,,,,,Yes - we need to show it for oss users as well
,,,https://tyk.io/docs/basic-config-and-security/reduce-latency/caching,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Reduce Latency,show:true,,,,,,
